,Unnamed: 0,Country,Daily new confirmed cases of COVID-19,daily_vaccinations
3315330,3315330,China,80020,187500
3316116,3316116,China,51100,187500
3316902,3316902,China,45459,187500
3317688,3317688,China,66651,187500
3318474,3318474,China,69470,187500
3319260,3319260,China,63761,187500
3320046,3320046,China,55742,187500
3320832,3320832,China,54218,187500
3321618,3321618,China,51168,187500
3322404,3322404,China,36182,187500
3323190,3323190,China,56939,187500
3323976,3323976,China,52951,187500
3324762,3324762,China,49053,187500
3325548,3325548,China,46513,187500
3326334,3326334,China,41120,187500
3327120,3327120,China,40425,187500
3327906,3327906,China,29337,187500
3328692,3328692,China,45012,187500
3329478,3329478,China,43135,187500
3330264,3330264,China,39947,187500
3331050,3331050,China,36825,187500
3331836,3331836,China,35765,187500
3332622,3332622,China,33327,187500
3333408,3333408,China,23676,187500
3334194,3334194,China,37114,187500
3334980,3334980,China,35862,187500
3335766,3335766,China,32694,187500
3336552,3336552,China,31728,187500
3337338,3337338,China,29514,187500
3338124,3338124,China,29355,187500
3338910,3338910,China,20500,187500
3339696,3339696,China,32669,187500
3340482,3340482,China,31582,187500
3341268,3341268,China,29359,187500
3342054,3342054,China,27035,187500
3342840,3342840,China,27055,187500
3343626,3343626,China,25967,187500
3344412,3344412,China,19637,187500
3345198,3345198,China,28719,187500
3345984,3345984,China,29052,187500
3346770,3346770,China,27138,187500
3347556,3347556,China,25909,187500
3348342,3348342,China,24268,187500
3349128,3349128,China,23618,187500
3349914,3349914,China,18896,187500
3350700,3350700,China,27038,187500
3351486,3351486,China,27755,187500
3352272,3352272,China,26089,187500
3353058,3353058,China,25285,187500
3353844,3353844,China,23322,187500
3354630,3354630,China,22895,187500
3355416,3355416,China,18367,187500
3356202,3356202,China,25279,187500
3356988,3356988,China,25929,187500
3357774,3357774,China,25115,187500
3358560,3358560,China,23802,187500
3359346,3359346,China,21953,187500
3360132,3360132,China,24043,187500
3360918,3360918,China,17411,187500
3361704,3361704,China,25747,187500
3362490,3362490,China,26401,187500
3363276,3363276,China,25082,187500
3364062,3364062,China,24111,187500
3364848,3364848,China,23901,187500
3365634,3365634,China,23581,187500
3366420,3366420,China,18103,187500
3367206,3367206,China,25733,187500
3367992,3367992,China,27870,187500
3368778,3368778,China,26424,187500
3369564,3369564,China,25756,187500
3370350,3370350,China,24957,187500
3371136,3371136,China,25251,187500
3371922,3371922,China,19693,187500
3372708,3372708,China,29168,187500
3373494,3373494,China,32027,187500
3374280,3374280,China,30805,187500
3375066,3375066,China,29364,187500
